,V1,b,se,t value,p,lo_ci,up_ci,or,or_lci95,or_uci95
1,HDL-C,-0.044380768,0.097705649,-0.454229296,0.650404216,-0.23588384,0.147122304,0.956589649,0.78987242,1.158495643
2,LDL-C,-0.069980623,0.146796195,-0.476719597,0.63434412,-0.357701165,0.217739919,0.932411887,0.699282014,1.243263677
3,TG,0.104877078,0.124978188,0.839163053,0.402883604,-0.14008017,0.349834326,1.110574088,0.869288541,1.418832466
4,TC,-0.086702255,0.181157148,-0.478602453,0.633007319,-0.441770265,0.268365755,0.916950072,0.642897314,1.307825396
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,HDL-C,LDL-C,TG,TC,,,
,,,,0.956589649,0.932411887,1.110574088,0.916950072,,,
,,,,0.78987242,0.699282014,0.869288541,0.642897314,,,
,,,,1.158495643,1.243263677,1.418832466,1.307825396,,,
